feature,importance
roll_mean_3h,21573361.498434067
hour_of_day,19308888.593182564
line_name,18049078.339019775
lag_2h,6020190.257549286
lag_1h,3934548.421406746
roll_mean_24h,3556546.152524948
roll_std_3h,3145092.1033935547
day_of_week,2633164.8881807327
lag_3h,2056950.8902397156
roll_mean_12h,1170758.1865005493
lag_48h,908419.752986908
lag_12h,870400.054889679
lag_168h,671198.7788352966
roll_std_6h,644857.7472991943
temperature_2m,509894.6012573242
roll_std_24h,459231.72142601013
month,215845.32734966278
roll_mean_6h,191580.30903434753
lag_24h,161939.23903369904
is_school_term,157951.28509140015
is_weekend,150610.9861125946
is_holiday,134748.46133995056
roll_std_12h,61524.107484817505
holiday_win_p1,13059.602899551392
wind_speed_10m,11910.910307884216
season,11223.158281326294
precipitation,5749.918218612671
holiday_win_m1,52.60569953918457
