feature,importance
roll_mean_24h,445733279533924.0
hour_of_day,168083512005774.0
roll_std_24h,79737588838004.0
line_name,74608801919138.0
lag_168h,25159623040300.0
day_of_week,16285931626356.0
lag_24h,11157055905648.0
is_weekend,2416433598952.0
lag_48h,2303344775336.0
month,2180030409492.0
temperature_2m,1227128142400.0
is_holiday,756488856930.0
season,345627134396.0
wind_speed_10m,283138203174.0
is_school_term,245773036840.0
precipitation,108987072886.0
holiday_win_p1,80881673712.0
holiday_win_m1,77605518182.0
