feature,importance
hour_of_day,33992664.690265656
roll_mean_3h,32268430.040844917
line_name,32013579.353621483
lag_2h,8644997.63606739
lag_1h,7586034.7512283325
roll_std_3h,5756947.774106026
roll_mean_24h,5220964.001279831
day_of_week,4092972.0399131775
lag_3h,2806495.5145101547
roll_mean_12h,1806117.0525417328
lag_12h,1644156.4059381485
lag_48h,1345198.8591270447
roll_std_6h,1232495.9055309296
lag_168h,913110.6607990265
roll_std_24h,798292.2542705536
temperature_2m,732149.8826093674
roll_mean_6h,513994.74226379395
is_weekend,380212.34658527374
lag_24h,287116.82007312775
month,285384.2947254181
is_holiday,243782.09253311157
is_school_term,236362.79862594604
roll_std_12h,129525.42648983002
season,65905.48574829102
wind_speed_10m,23451.537998199463
holiday_win_p1,16459.181887626648
precipitation,10285.123123168945
holiday_win_m1,818.3087310791016
