feature,importance
line_name,91114688.95254517
hour_of_day,87304453.21754456
roll_mean_3h,87017109.87303925
lag_2h,23625277.4407959
lag_1h,19543917.81399536
roll_std_3h,17564005.505981445
roll_mean_24h,16532909.346565247
day_of_week,11515888.021530151
lag_3h,8517372.358337402
lag_12h,4478690.6734313965
roll_mean_12h,4463579.336578369
roll_std_6h,3439311.5709609985
lag_48h,3063502.7797698975
lag_168h,1730714.7561645508
roll_mean_6h,1427014.3063278198
roll_std_24h,1318446.6710205078
temperature_2m,1116997.2126998901
lag_24h,1041855.7852401733
is_holiday,629555.7002563477
is_school_term,558858.1244659424
month,558001.4904708862
is_weekend,555873.1458129883
roll_std_12h,302657.99530792236
season,111772.6570892334
holiday_win_p1,28125.478897094727
wind_speed_10m,10938.016494750977
precipitation,5615.300064086914
holiday_win_m1,85.05380249023438
